"title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Destry Rides Again",1939,94,NA,7.7,1540,"",0,0,0,0,0,0,0
"Detour",1945,67,30000,7.3,1114,"",0,0,0,1,0,0,0
"Detroit Rock City",1999,95,15000000,6,4607,"R",0,0,1,0,0,0,0
"Deuce Bigalow: Male Gigolo",1999,88,18000000,5.6,9897,"R",0,0,1,0,0,0,0
"Deuces Wild",2002,100,10000000,5.3,1511,"R",1,0,0,1,0,0,0
"Devdas",2002,182,NA,7.3,1025,"",0,0,0,1,0,1,0
"Devil in a Blue Dress",1995,102,NA,6.5,2483,"R",0,0,0,0,0,0,0
"Devil's Advocate, The",1997,144,57000000,7,26904,"R",0,0,0,1,0,0,0
"Devil's Own, The",1997,111,80000000,5.7,8485,"R",1,0,0,1,0,0,0
"Diabolique",1996,107,NA,5,3103,"R",0,0,0,1,0,0,0
"Diaboliques, Les",1955,116,NA,8.2,3068,"",0,0,0,0,0,0,0
"Dial M for Murder",1954,105,1400000,7.8,7989,"",0,0,0,0,0,0,0
"Diamonds Are Forever",1971,120,7200000,6.6,8738,"",1,0,0,0,0,0,0
"Diarios de motocicleta",2004,128,NA,8,8479,"R",0,0,0,1,0,0,0
"Dick",1999,94,13000000,6.3,5004,"PG-13",0,0,1,0,0,0,0
"Dick Tracy",1990,105,47000000,5.7,9939,"",1,0,1,0,0,0,0
"Dickie Roberts: Former Child Star",2003,98,17000000,5.5,2076,"PG-13",0,0,1,0,0,0,0
"Die Another Day",2002,133,142000000,6.4,22136,"PG-13",1,0,0,0,0,0,0
"Die Hard",1988,131,28000000,8,58870,"",1,0,0,0,0,0,0
"Die Hard 2",1990,124,70000000,6.7,22987,"",1,0,0,0,0,0,0
"Die Hard: With a Vengeance",1995,131,90000000,7,25258,"R",1,0,0,0,0,0,0
"Die xue jie tou",1990,126,3500000,7.6,1805,"",1,0,0,1,0,0,0
"Die xue shuang xiong",1989,104,NA,8,9323,"R",1,0,0,1,0,0,0
"Diggstown",1992,98,NA,6.6,1443,"",0,0,0,1,0,0,0
"Diner",1982,110,5000000,7.2,3250,"",0,0,1,1,0,0,0
"Dinner Rush",2000,99,NA,7.3,1231,"R",0,0,0,1,0,0,0
"Dinner at Eight",1933,113,435000,7.6,1031,"",0,0,1,1,0,1,0
"Dinosaur",2000,82,127500000,6.3,5839,"PG",0,1,0,0,0,0,0
"Dirty Dancing",1987,100,6000000,5.9,14407,"",0,0,0,1,0,1,0
"Dirty Dancing: Havana Nights",2004,86,NA,5.4,1667,"PG-13",0,0,0,1,0,1,0
"Dirty Dozen, The",1967,145,NA,7.7,7340,"",1,0,0,1,0,0,0
"Dirty Harry",1971,99,NA,7.6,11108,"",1,0,0,1,0,0,0
"Dirty Pretty Things",2002,97,10000000,7.6,6274,"R",0,0,0,1,0,0,0
"Dirty Rotten Scoundrels",1988,110,NA,6.9,7993,"",0,0,1,0,0,0,0
"Dirty Work",1998,82,13000000,5.9,4252,"PG-13",0,0,1,0,0,0,0
"Disclosure",1994,128,NA,5.9,7062,"",0,0,0,1,0,0,0
"Discovery of Heaven, The",2001,127,NA,7,1365,"",0,0,0,1,0,0,0
"Dish, The",2000,97,NA,7.3,4629,"PG-13",0,0,1,0,0,0,0
"Distinguished Gentleman, The",1992,112,NA,5.7,2699,"",0,0,1,0,0,0,0
"Disturbing Behavior",1998,84,15000000,5.1,4620,"R",0,0,0,0,0,0,0
"Diva",1981,123,NA,7.2,2835,"",1,0,0,1,0,1,0
"Divine Secrets of the Ya-Ya Sisterhood",2002,116,27000000,5.5,4288,"PG-13",0,0,1,1,0,0,0
"Divorce, Le",2003,117,NA,4.9,2314,"PG-13",0,0,1,1,0,1,0
"Do the Right Thing",1989,120,6500000,7.7,9324,"",0,0,1,1,0,0,0
"Dobermann",1997,103,NA,6.5,2791,"R",1,0,0,0,0,0,0
"Doc Hollywood",1991,104,NA,5.8,6398,"",0,0,1,0,0,1,0
"Doctor Detroit",1983,89,NA,4.4,1233,"",0,0,1,0,0,0,0
"Doctor Dolittle",1967,145,18000000,5.8,1069,"",0,0,0,0,0,0,0
"Doctor Dolittle",1998,85,71500000,5.4,8287,"PG-13",0,0,1,0,0,0,0
"Doctor Zhivago",1965,200,11000000,7.9,10283,"PG-13",0,0,0,1,0,1,0
"Doctor, The",1991,122,NA,6.7,1034,"",0,0,0,1,0,0,0
"Dodgeball: A True Underdog Story",2004,92,20000000,6.6,14584,"PG-13",0,0,1,0,0,0,0
"Dog Day Afternoon",1975,124,NA,8,14962,"",0,0,0,1,0,0,0
"Dog Soldiers",2002,104,NA,6.8,5782,"R",1,0,0,0,0,0,0
"Dogfight",1991,89,NA,7.1,1503,"",0,0,1,1,0,1,0
"Dogma",1999,130,10000000,7.3,43391,"R",0,0,1,0,0,0,0
"Dogs of War, The",1981,102,NA,6,1022,"",1,0,0,0,0,0,0
"Dogtown and Z-Boys",2001,91,NA,7.4,1555,"PG-13",0,0,0,0,1,0,0
"Dogville",2003,135,NA,8,14307,"R",0,0,0,1,0,0,0
"Dolce vita, La",1960,180,NA,8,5285,"",0,0,0,1,0,0,0
"Dolls",2002,115,NA,7.7,2162,"",0,0,0,1,0,1,0
"Dolores Claiborne",1995,132,NA,7.2,5446,"R",0,0,0,1,0,0,0
"Dom za vesanje",1988,142,NA,7.8,1697,"",0,0,0,1,0,0,0
"Domestic Disturbance",2001,91,53000000,5.4,4445,"PG-13",0,0,0,1,0,0,0
"Don Juan DeMarco",1995,97,25000000,6.5,6857,"",0,0,1,1,0,1,0
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",1996,89,NA,5.7,3515,"R",0,0,1,0,0,0,0
"Don't Look Now",1973,110,NA,7.5,3666,"",0,0,0,0,0,0,0
"Don't Say a Word",2001,113,50000000,6.2,10098,"R",0,0,0,1,0,0,0
"Don't Tell Mom the Babysitter's Dead",1991,102,NA,5.2,3648,"",0,0,1,0,0,0,0
"Donnie Brasco",1997,127,35000000,7.6,20029,"R",0,0,0,1,0,0,0
"Donnie Darko",2001,133,4500000,8.3,51961,"R",0,0,0,1,0,0,0
"Donovan's Reef",1963,109,2686585,6.5,1062,"",1,0,1,0,0,1,0
"Dont Look Back",1967,96,NA,7.5,1026,"",0,0,0,0,1,0,0
"Doom Generation, The",1995,72,NA,5,2780,"R",0,0,0,1,0,0,0
"Door in the Floor, The",2004,111,NA,6.9,1947,"R",0,0,0,1,0,0,0
"Doors, The",1991,140,38000000,6.7,10363,"",0,0,0,1,0,0,0
"Double Dragon",1994,89,NA,3.1,1497,"",1,0,0,0,0,0,0
"Double Impact",1991,109,16000000,4.5,2749,"",1,0,0,0,0,0,0
"Double Indemnity",1944,110,927262,8.5,11592,"",0,0,0,1,0,0,0
"Double Jeopardy",1999,105,40000000,5.9,13587,"R",0,0,0,1,0,0,0
"Double Take",2001,91,24000000,4.8,1503,"PG-13",1,0,1,0,0,0,0
"Double Team",1997,93,NA,3.9,2857,"R",1,0,0,0,0,0,0
"Down Periscope",1996,92,NA,5.2,3247,"PG-13",0,0,1,0,0,0,0
"Down and Out in Beverly Hills",1986,103,NA,5.9,3503,"",0,0,1,0,0,0,0
"Down by Law",1986,107,1100000,7.6,4449,"",0,0,1,1,0,0,0
"Down to Earth",2001,87,30000000,5.1,3720,"PG-13",0,0,1,0,0,1,0
"Down to You",2000,91,9000000,4.7,3232,"PG-13",0,0,1,1,0,1,0
"Down with Love",2003,101,NA,6.5,7426,"PG-13",0,0,1,0,0,1,0
"Dr T and the Women",2000,122,12000000,4.8,4776,"R",0,0,1,1,0,1,0
"Dr. Dolittle 2",2001,87,72000000,5.1,4920,"PG",0,0,1,0,0,0,0
"Dr. Jekyll and Mr. Hyde",1931,96,1140000,7.6,1018,"",0,0,0,1,0,0,0
"Dr. No",1962,110,1100000,7.2,11864,"",1,0,0,0,0,0,0
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,"PG",0,0,1,0,0,0,0
"Dracula",1958,82,NA,7.4,1718,"",0,0,0,0,0,0,0
"Dracula",1992,128,40000000,7.1,19972,"R",0,0,0,1,0,1,0
"Dracula 2000",2000,99,28000000,4.9,5364,"R",0,0,0,0,0,0,0
"Dracula: Dead and Loving It",1995,88,NA,4.6,3557,"PG-13",0,0,1,0,0,0,0
"Dragnet",1987,106,NA,5.5,6042,"",0,0,1,1,0,0,0
"Dragon: The Bruce Lee Story",1993,119,14000000,6.7,3244,"",1,0,0,1,0,0,0
"Dragonfly",2002,104,60000000,5.8,5431,"PG-13",0,0,0,1,0,0,0
"Dragonslayer",1981,109,18000000,6.4,1965,"",1,0,0,0,0,0,0
"Draughtsman's Contract, The",1982,103,NA,6.9,1249,"",0,0,1,1,0,0,0
"Dream Team, The",1989,113,NA,6.1,2216,"",0,0,1,0,0,0,0
"Dreamcatcher",2003,134,68000000,5.2,10403,"R",0,0,0,0,0,0,0
"Dreamers, The",2003,112,NA,7,4936,"R",0,0,0,1,0,0,0
"Dreamscape",1984,99,NA,6.3,1603,"",0,0,0,0,0,0,0
"Dressed to Kill",1980,104,6500000,6.9,3481,"",0,0,0,0,0,0,0
"Drive",1997,117,3500000,6.4,1086,"R",1,0,1,0,0,0,0
"Drive Me Crazy",1999,91,8000000,5.1,2934,"PG-13",0,0,1,1,0,1,0
"Driven",2001,116,72000000,4.4,7129,"PG-13",1,0,0,1,0,0,0
"Driving Miss Daisy",1989,99,7500000,7.4,8656,"",0,0,1,1,0,0,0
"Drop Dead Fred",1991,103,NA,4.5,3336,"",0,0,1,0,0,0,0
"Drop Zone",1994,101,45000000,5.5,3104,"",1,0,0,0,0,0,0
"Drowning Mona",2000,95,16000000,5.4,3454,"PG-13",0,0,1,0,0,0,0
"Drowning by Numbers",1988,118,NA,7.1,1697,"",0,0,1,1,0,0,0
"Drugstore Cowboy",1989,100,2500000,7.4,4999,"",0,0,0,1,0,0,0
"Drumline",2002,118,20000000,5.3,7368,"PG-13",0,0,1,1,0,1,0
"Du rififi chez les hommes",1955,120,NA,8,1533,"",0,0,0,0,0,0,0
"Duck Amuck",1953,7,NA,8.4,1260,"",0,1,1,0,0,0,1
"Duck Soup",1933,68,NA,8.3,9870,"",0,0,1,0,0,0,0
"Dude, Where's My Car?",2000,83,13000000,4.6,13330,"PG-13",0,0,1,0,0,0,0
"Dudley Do-Right",1999,77,22000000,3.6,1790,"PG",0,0,1,0,0,0,0
"Duellists, The",1977,95,900000,7.4,1929,"",1,0,0,1,0,0,0
"Duets",2000,112,15000000,5.8,2414,"R",0,0,1,1,0,0,0
"Dumb & Dumber",1994,101,16000000,6.6,27713,"PG-13",0,0,1,0,0,0,0
"Dumb and Dumberer: When Harry Met Lloyd",2003,85,19000000,3.3,4689,"PG-13",0,0,1,0,0,0,0
"Dumbo",1941,64,950000,7.4,6828,"",0,1,0,1,0,0,0
"Dummy",2002,90,NA,6.8,1022,"R",0,0,1,1,0,1,0
"Dune",1984,190,45000000,6.3,16903,"",1,0,0,0,0,0,0
"Dungeons & Dragons",2000,107,35000000,4,7435,"PG-13",1,0,0,0,0,0,0
"Dunston Checks In",1996,88,NA,4.7,1017,"PG",0,0,1,0,0,0,0
"Duo luo tian shi",1995,96,NA,7.5,2179,"",0,0,0,1,0,0,0
"Duplex",2003,89,40000000,5.7,4334,"PG-13",0,0,1,0,0,0,0
"Dutch",1991,107,NA,5.6,1509,"",0,0,1,0,0,0,0
"Dying Young",1991,114,NA,5.2,2210,"",0,0,0,1,0,1,0
"E.T. the Extra-Terrestrial",1982,120,10500000,7.8,44175,"PG",0,0,0,1,0,0,0
"Eagle Has Landed, The",1976,131,6000000,6.7,2001,"",0,0,0,1,0,0,0
"Earth Girls Are Easy",1988,100,10000000,5,3952,"",0,0,1,0,0,0,0
"Earthquake",1974,140,7000000,5.2,2106,"",1,0,0,1,0,0,0
"East Is East",1999,96,NA,6.9,4015,"",0,0,1,1,0,0,0
"East of Eden",1955,115,NA,7.8,3802,"PG",0,0,0,1,0,0,0
"Easter Parade",1948,107,2503654,7.4,1093,"",0,0,0,0,0,1,0
"Easy Money",1983,95,NA,5.8,1019,"",0,0,1,0,0,0,0
"Easy Rider",1969,94,340000,7.2,10230,"",1,0,0,1,0,0,0
"Eating Raoul",1982,87,350000,6.4,1351,"",0,0,1,0,0,0,0
"Ed Wood",1994,127,18000000,8,22612,"R",0,0,1,1,0,0,0
"Eddie",1996,100,30000000,4.9,1348,"PG-13",0,0,1,0,0,0,0
"Eddie Murphy Raw",1987,93,NA,6.7,2409,"",0,0,1,0,0,0,0
"Eddie and the Cruisers",1983,95,NA,6.3,1217,"",0,0,0,1,0,0,0
"Edge, The",1997,117,NA,6.6,6035,"R",1,0,0,1,0,0,0
"Edtv",1999,122,60000000,6.2,10085,"PG-13",0,0,1,0,0,0,0
"Educating Rita",1983,110,NA,6.9,2103,"",0,0,1,1,0,0,0
"Edward Scissorhands",1990,105,20000000,7.7,27017,"",0,0,0,1,0,1,0
"Eegah",1962,90,15000,1.9,1314,"",0,0,0,0,0,0,0
"Ehe der Maria Braun, Die",1979,120,NA,7.6,1247,"",0,0,0,1,0,0,0
"Eiger Sanction, The",1975,123,NA,6.2,1701,"",1,0,0,0,0,0,0
"Eight Crazy Nights",2002,76,NA,4.5,2074,"PG-13",0,1,1,0,0,0,0
"Eight Legged Freaks",2002,99,30000000,5.5,6362,"PG-13",1,0,1,0,0,0,0
"Eight Men Out",1988,119,6000000,7.3,3689,"",0,0,0,1,0,0,0
"El Cid",1961,182,6250000,7.1,1458,"",0,0,0,1,0,1,0
"El Dorado",1966,126,NA,7.5,2432,"",1,0,0,0,0,0,0
"Election",1999,103,8500000,7.4,17521,"R",0,0,1,0,0,0,0
"Electric Dreams",1984,95,NA,5.8,1355,"",0,0,1,0,0,1,0
"Electric Horseman, The",1979,122,NA,5.8,1293,"",0,0,1,1,0,1,0
"Elektra",2005,96,43000000,4.9,5120,"PG-13",1,0,0,0,0,0,0
"Elephant",2003,81,3000000,7.3,9203,"R",0,0,0,1,0,0,0
"Elephant Man, The",1980,124,5000000,8.2,16422,"",0,0,0,1,0,0,0
"Elf",2003,95,33000000,7,10165,"PG",0,0,1,0,0,0,0
"Elizabeth",1998,124,25000000,7.6,14733,"R",0,0,0,1,0,0,0
"Ella Enchanted",2004,96,35000000,6.5,2502,"PG",0,0,1,0,0,1,0
"Elling",2001,89,NA,7.6,3014,"R",0,0,1,1,0,0,0
"Elmer Gantry",1960,146,3000000,7.8,1771,"",0,0,0,1,0,0,0
"Elsker dig for evigt",2002,113,NA,7.7,1068,"R",0,0,0,1,0,0,0
"Elvira, Mistress of the Dark",1988,96,20000000,5.3,1238,"",0,0,1,0,0,0,0
"Embrace of the Vampire",1994,93,800000,4.2,1551,"R",0,0,0,0,0,0,0
"Emerald Forest, The",1985,110,NA,6.6,1447,"",1,0,0,1,0,0,0
"Emma",1996,121,6000000,6.9,6431,"PG",0,0,1,0,0,1,0
"Emmanuelle",1974,95,NA,4.7,1296,"",0,0,0,1,0,0,0
"Emperor's Club, The",2002,109,12500000,6.7,3056,"PG-13",0,0,0,1,0,0,0
"Emperor's New Groove, The",2000,78,100000000,7.4,8532,"",0,1,1,0,0,0,0
"Empire",2002,90,3500000,6,1718,"R",1,0,0,1,0,0,0
"Empire Records",1995,107,NA,6.2,8990,"PG-13",0,0,1,1,0,0,0
"Empire of the Sun",1987,154,38000000,7.5,9963,"",0,0,0,1,0,0,0
"Emploi du temps, L'",2001,134,NA,7.2,1090,"PG-13",0,0,0,1,0,0,0
"Enchanted April",1992,95,NA,7.4,1313,"",0,0,0,1,0,0,0
"Encino Man",1992,88,NA,5,4504,"",0,0,1,0,0,0,0
"End of Days",1999,121,83000000,5.3,18237,"R",1,0,0,0,0,0,0
"End of Violence, The",1997,122,5000000,5.4,1575,"R",0,0,0,1,0,0,0
"End of the Affair, The",1999,102,23000000,7,4808,"R",0,0,0,1,0,1,0
"Endless Love",1981,116,NA,3.7,1156,"",0,0,0,1,0,1,0
"Enemy Below, The",1957,98,NA,7.6,1137,"",1,0,0,1,0,0,0
"Enemy Mine",1985,108,NA,6.4,4401,"",0,0,0,1,0,0,0
"Enemy at the Gates",2001,131,70000000,7.3,19169,"R",1,0,0,1,0,1,0
"Enemy of the State",1998,131,90000000,7.1,23263,"R",1,0,0,1,0,0,0
"Enfants du paradis, Les",1945,163,NA,8.1,3369,"",0,0,0,1,0,1,0
"English Patient, The",1996,160,27000000,7.1,25210,"R",0,0,0,1,0,1,0
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,99,NA,6.5,3265,"PG",0,0,1,0,0,1,0
"Enigma",2001,119,NA,6.7,4291,"R",0,0,0,1,0,1,0
"Enough",2002,115,38000000,4.9,4339,"PG-13",0,0,0,1,0,0,0
"Enter the Dragon",1973,99,850000,7.4,8078,"R",1,0,0,0,0,0,0
"Entity, The",1981,115,NA,6,1146,"",0,0,0,0,0,0,0
"Entrapment",1999,113,66000000,6.1,18543,"PG-13",0,0,1,0,0,1,0
"Envy",2004,99,40000000,4.3,3417,"PG-13",0,0,1,0,0,0,0
"Equilibrium",2002,107,20000000,7.6,17579,"R",1,0,0,0,0,0,0
"Eraser",1996,115,100000000,5.8,14641,"R",1,0,0,1,0,0,0
"Eraserhead",1977,89,10000,7.1,7207,"",0,0,0,1,0,0,0
"Erik the Viking",1989,104,NA,5.7,2329,"",0,0,1,0,0,0,0
"Erin Brockovich",2000,130,51000000,7.3,24301,"R",0,0,0,1,0,0,0
"Ernest Goes to Camp",1987,92,3000000,4.4,1562,"",0,0,1,0,0,0,0
"Ernest Goes to Jail",1990,81,NA,4.4,1076,"",0,0,1,0,0,0,0
"Ernest Saves Christmas",1988,95,6000000,4.6,1125,"",0,0,1,0,0,0,0
"Escape from Alcatraz",1979,112,NA,7.3,6131,"",0,0,0,1,0,0,0
"Escape from L.A.",1996,101,50000000,4.8,7955,"R",1,0,0,0,0,0,0
"Escape from New York",1981,99,6000000,6.8,9924,"",1,0,0,0,0,0,0
"Escape from the Planet of the Apes",1971,98,2500000,5.8,2951,"",1,0,0,1,0,0,0
"Escape to Witch Mountain",1975,97,NA,6,1043,"",0,0,0,0,0,0,0
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,"R",0,0,0,1,0,0,0
"Est - Ouest",1999,121,NA,7.2,1266,"PG-13",0,0,0,1,0,1,0
"Eternal Sunshine of the Spotless Mind",2004,108,20000000,8.6,46240,"R",0,0,1,1,0,1,0
"EuroTrip",2004,90,25000000,6.1,8390,"R",0,0,1,0,0,0,0
"Europa",1991,112,NA,7.4,2694,"",0,0,0,1,0,0,0
"Europa Europa",1990,107,NA,7.7,2018,"",0,0,0,1,0,0,0
"European Vacation",1985,95,NA,5.3,6215,"",0,0,1,0,0,0,0
"Eve's Bayou",1997,109,5000000,7.2,2302,"R",0,0,0,1,0,0,0
"Evelyn",2002,94,10000000,7.1,1163,"PG",0,0,0,1,0,0,0
"Even Cowgirls Get the Blues",1993,99,8000000,4,1609,"",0,0,1,1,0,1,0
"Event Horizon",1997,96,70000000,5.7,15510,"R",0,0,0,0,0,0,0
"Ever After",1998,121,26000000,7,10250,"PG",0,0,1,1,0,1,0
"Every Which Way But Loose",1978,110,NA,5.5,2472,"",0,0,1,0,0,0,0
"Everyone Says I Love You",1996,101,20000000,6.9,7314,"R",0,0,1,0,0,1,0
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,87,2000000,6.7,4671,"",0,0,1,0,0,0,0
"Evil Dead II",1987,85,3500000,7.6,15743,"",1,0,1,0,0,0,0
"Evil Dead, The",1981,86,350000,7.4,14407,"NC-17",0,0,0,0,0,0,0
"Evil Under the Sun",1982,117,NA,6.6,1079,"",0,0,0,1,0,0,0
"Evita",1996,134,55000000,6.2,8371,"PG",0,0,0,1,0,0,0
"Evolution",2001,101,80000000,5.8,14232,"PG-13",0,0,1,0,0,0,0
"Excalibur",1981,119,NA,7.4,11867,"",0,0,0,0,0,0,0
"Excess Baggage",1997,101,NA,4.8,2881,"PG-13",0,0,1,0,0,0,0
"Executive Decision",1996,134,55000000,6.3,7653,"",1,0,0,0,0,0,0
"Exit Wounds",2001,101,33000000,5.3,5370,"R",1,0,0,0,0,0,0
"Exit to Eden",1994,113,NA,3.9,1826,"",0,0,1,0,0,0,0
"Exodus",1960,208,4000000,6.8,1161,"",1,0,0,1,0,0,0
"Exorcist II: The Heretic",1977,118,14000000,3.5,3009,"",0,0,0,1,0,0,0
"Exorcist III, The",1990,105,NA,5.5,2577,"",0,0,0,1,0,0,0
"Exorcist, The",1973,132,1000000,7.9,34162,"",0,0,0,1,0,0,0
"Exorcist: The Beginning",2004,114,30000000,5,4130,"R",1,0,0,0,0,0,0
"Exotica",1994,103,NA,7.2,4494,"R",0,0,0,1,0,0,0
"Experiment, Das",2001,119,NA,7.8,6601,"R",0,0,0,1,0,0,0
"Explorers",1985,109,NA,6,1830,"PG",0,0,0,0,0,0,0
"Extreme Measures",1996,118,38000000,5.9,3417,"R",0,0,0,0,0,0,0
"Extreme Ops",2002,94,40000000,4,1337,"PG-13",1,0,0,0,0,0,0
"Eye for an Eye",1996,101,20000000,5.6,1843,"R",0,0,0,1,0,0,0
"Eye of the Beholder",1999,109,15000000,4.5,5549,"R",0,0,0,0,0,0,0
"Eye of the Needle",1981,112,NA,7,1339,"",0,0,0,0,0,0,0
"Eyes Wide Shut",1999,159,65000000,7,37868,"R",0,0,0,1,0,0,0
"Eyes of Laura Mars",1978,104,7000000,5.8,1174,"",0,0,0,0,0,0,0
"F/X",1986,109,NA,6.5,3946,"",1,0,0,0,0,0,0
"F/X2",1991,108,NA,5.3,1514,"",1,0,1,0,0,0,0
"Fa yeung nin wa",2000,94,NA,8,7380,"PG",0,0,0,1,0,1,0
"Fabulous Baker Boys, The",1989,110,NA,6.6,4419,"",0,0,0,1,0,1,0
"Face in the Crowd, A",1957,125,NA,8,1286,"",0,0,0,1,0,0,0
"Face/Off",1997,133,80000000,7.1,37506,"R",1,0,0,1,0,0,0
"Faculty, The",1998,104,15000000,6.1,13143,"R",0,0,0,0,0,0,0
"Fahrenheit 451",1966,108,NA,7.1,4094,"",0,0,0,1,0,0,0
"Fahrenheit 9/11",2004,122,6000000,7.9,34666,"R",0,0,0,0,1,0,0
"Fail-Safe",1964,112,NA,7.8,3170,"",0,0,0,1,0,0,0
"Fair Game",1995,91,50000000,3.9,2579,"R",1,0,1,1,0,0,0
"Falcon and the Snowman, The",1985,131,NA,6.6,1912,"",0,0,0,1,0,0,0
"Fallen",1998,123,NA,6.7,9367,"R",0,0,0,0,0,0,0
"Falling Down",1993,113,NA,7.3,14536,"R",0,0,1,1,0,0,0
"Falling in Love",1984,106,NA,5.9,1392,"",0,0,0,1,0,1,0
"Fame",1980,134,NA,6.3,2662,"",0,0,0,1,0,0,0
"Family Business",1989,110,NA,5.4,2256,"",0,0,1,0,0,0,0
"Family Man, The",2000,125,60000000,6.5,11220,"PG-13",0,0,1,1,0,1,0
"Family Plot",1976,121,3000000,6.6,2212,"",0,0,1,0,0,0,0
"Fan, The",1996,114,55000000,5.4,6920,"R",0,0,0,0,0,0,0
"Fandango",1985,91,NA,6.2,1737,"",0,0,1,0,0,0,0
"Fanny och Alexander",1982,312,NA,8.2,4359,"",0,0,0,1,0,0,0
"Fantasia",1940,80,2280000,7.8,14925,"",0,1,0,0,0,0,0
"Fantasia/2000",1999,75,80000000,7.4,5353,"",0,1,0,0,0,0,0
"Fantastic Voyage",1966,100,NA,6.7,2098,"PG",0,0,0,0,0,0,0
"Far and Away",1992,140,30000000,6.2,8556,"",0,0,0,1,0,1,0
"Far from Heaven",2002,107,13500000,7.7,9167,"PG-13",0,0,0,1,0,1,0
"Fargo",1996,98,7000000,8.2,65597,"R",0,0,0,1,0,0,0
"Farinelli",1994,111,NA,6.7,1176,"R",0,0,0,1,0,0,0
"Fast Times at Ridgemont High",1982,90,4500000,7.1,10361,"",0,0,1,0,0,0,0
"Fast and the Furious, The",2001,106,38000000,5.7,21428,"PG-13",1,0,0,0,0,0,0
"Faster, Pussycat! Kill! Kill!",1965,83,45000,6.5,1242,"",1,0,1,1,0,0,0
"Fat Albert",2004,93,NA,4.2,1062,"PG",0,0,1,0,0,0,0
"Fat Man and Little Boy",1989,127,NA,6.3,1219,"",0,0,0,1,0,0,0
"Fatal Attraction",1987,123,14000000,6.7,8541,"",0,0,0,1,0,0,0
"Fatal Instinct",1993,91,NA,5.2,1320,"",0,0,1,0,0,0,0
"Fate ignoranti, Le",2001,109,NA,7.4,1216,"R",0,0,0,1,0,0,0
"Father Goose",1964,118,NA,7.1,1575,"",0,0,1,0,0,1,0
"Father of the Bride",1950,92,NA,7.3,1515,"",0,0,1,0,0,0,0
"Father of the Bride",1991,105,NA,6.4,8636,"",0,0,1,0,0,0,0
"Father of the Bride Part II",1995,106,30000000,5.6,4089,"PG",0,0,1,0,0,0,0
"Fathers' Day",1997,98,85000000,4.7,2714,"PG-13",0,0,1,0,0,0,0
"Fear",1996,97,NA,5.6,4687,"R",0,0,0,1,0,0,0
"Fear and Loathing in Las Vegas",1998,118,18500000,7.2,21484,"",0,0,1,1,0,0,0
"Fear of a Black Hat",1994,88,NA,6.7,1031,"",0,0,1,0,0,0,0
"FearDotCom",2002,101,42000000,3.2,5126,"R",0,0,0,0,0,0,0
"Fearless",1993,122,NA,7.1,4352,"",0,0,0,1,0,0,0
"Fearless Vampire Killers, The",1967,108,2000000,7,3452,"",0,0,1,0,0,0,0
"Feeling Minnesota",1996,99,NA,5.2,2602,"R",0,0,1,1,0,1,0
"Fei ying gai wak",1990,80,NA,6.9,1840,"PG-13",1,0,1,0,0,0,0
"Felicia's Journey",1999,116,NA,7,2519,"PG-13",0,0,0,1,0,0,0
"Femme Fatale",2002,114,35000000,6.4,6083,"R",0,0,0,0,0,0,0
"FernGully: The Last Rainforest",1992,76,NA,5.6,1983,"",0,1,0,0,0,0,0
"Ferris Bueller's Day Off",1986,102,NA,7.7,32130,"",0,0,1,0,0,0,0
"Festen",1998,105,1300000,8.2,11983,"R",0,0,0,1,0,0,0
"Fetten Jahre sind vorbei, Die",2004,127,NA,7.9,1238,"R",0,0,1,1,0,1,0
"Fever Pitch",1997,102,NA,6.7,1697,"R",0,0,1,0,0,1,0
"Fever Pitch",2005,98,39690000,6.6,1712,"PG-13",0,0,1,0,0,1,0
"Few Good Men, A",1992,138,33000000,7.5,25237,"",0,0,0,1,0,0,0
"Fiddler on the Roof",1971,181,9000000,7.6,5893,"",0,0,0,1,0,0,0
"Field of Dreams",1989,107,NA,7.7,21270,"",0,0,0,1,0,0,0
"Fierce Creatures",1997,93,NA,6.1,5216,"",0,0,1,0,0,0,0
"Fifth Element, The",1997,126,90000000,7.1,55398,"PG-13",1,0,0,1,0,0,0
"Fight Club",1999,139,63000000,8.5,112092,"R",0,0,0,1,0,0,0
"Fighting Temptations, The",2003,123,NA,5.2,1013,"PG-13",0,0,1,0,0,0,0
"Fille sur le pont, La",1999,90,NA,7.4,2283,"R",0,0,0,1,0,1,0
"Filth and the Fury, The",2000,108,NA,7.4,1172,"R",0,0,0,0,1,0,0
"Final Analysis",1992,124,NA,5.5,2290,"",0,0,0,1,0,1,0
"Final Conflict, The",1981,108,NA,5.1,1790,"",0,0,0,0,0,0,0
"Final Countdown, The",1980,103,NA,6.6,2572,"",0,0,0,1,0,0,0
"Final Cut, The",2004,105,NA,6.2,1840,"PG-13",0,0,0,0,0,0,0
"Final Destination",2000,98,23000000,6.6,16504,"R",0,0,0,0,0,0,0
"Final Destination 2",2003,90,26000000,6.3,8481,"R",0,0,0,0,0,0,0
